Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7u","C_1206_3216Metric",72.000000,-25.000000,90.000000,top
"C2","4.7u","C_1206_3216Metric",47.600000,-25.000000,90.000000,top
"C3","4.7u","C_1206_3216Metric",76.000000,-25.000000,90.000000,top
"C4","4.7u","C_1206_3216Metric",51.600000,-25.000000,90.000000,top
"D1","APA102-2020","LED-APA102-2020",50.900000,-35.700000,0.000000,top
"D2","APA102-2020","LED-APA102-2020",53.500000,-35.700000,0.000000,top
"D3","APA102-2020","LED-APA102-2020",56.100000,-35.700000,0.000000,top
"D4","APA102-2020","LED-APA102-2020",58.700000,-35.700000,0.000000,top
"D5","APA102-2020","LED-APA102-2020",61.300000,-35.700000,0.000000,top
"D6","APA102-2020","LED-APA102-2020",63.900000,-35.700000,0.000000,top
"D7","APA102-2020","LED-APA102-2020",66.500000,-35.700000,0.000000,top
"D8","APA102-2020","LED-APA102-2020",69.100000,-35.700000,0.000000,top
"D9","APA102-2020","LED-APA102-2020",69.100000,-38.300000,180.000000,top
"D10","APA102-2020","LED-APA102-2020",66.500000,-38.300000,180.000000,top
"D11","APA102-2020","LED-APA102-2020",63.900000,-38.300000,180.000000,top
"D12","APA102-2020","LED-APA102-2020",61.300000,-38.300000,180.000000,top
"D13","APA102-2020","LED-APA102-2020",58.700000,-38.300000,180.000000,top
"D14","APA102-2020","LED-APA102-2020",56.100000,-38.300000,180.000000,top
"D15","APA102-2020","LED-APA102-2020",53.500000,-38.300000,180.000000,top
"D16","APA102-2020","LED-APA102-2020",50.900000,-38.300000,180.000000,top
"D17","APA102-2020","LED-APA102-2020",45.700000,-40.900000,0.000000,top
"D18","APA102-2020","LED-APA102-2020",48.300000,-40.900000,0.000000,top
"D19","APA102-2020","LED-APA102-2020",50.900000,-40.900000,0.000000,top
"D20","APA102-2020","LED-APA102-2020",53.500000,-40.900000,0.000000,top
"D21","APA102-2020","LED-APA102-2020",56.100000,-40.900000,0.000000,top
"D22","APA102-2020","LED-APA102-2020",58.700000,-40.900000,0.000000,top
"D23","APA102-2020","LED-APA102-2020",61.300000,-40.900000,0.000000,top
